Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Number_systems_involved,Unique_project,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Receiving_2021_systemtype,Distance(m),Prox_ord,CES_Receiving_Polygon,DistNote,Percent.renter.consolidated,Percent.owner.consolidated,Percent.white.consolidated,Percent.black.consolidated,Percent.asian.consolidated,Percent.native.consolidated,Percent.PI.consolidated,Percent.hispanicorlatino.consolidated,MHI.consolidated,Percent.renter.receiving,Percent.owner.receiving,Percent.white.receiving,Percent.black.receiving,Percent.asian.receiving,Percent.native.receiving,Percent.PI.receiving,Percent.hispanicorlatino.receiving,MHI.receiving
LPA46 - KINGS COUNTY,KINGS,CA1600296,OLAM SPICES AND VEGETABLES INC,NTNC,Private (other),7,75,5/25/17,NA,17-May,Hanford,CA1610003,City,Arsenic,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.624592,36.326253,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,17626,Community water system,NA,NA,NA,NA,57.97101449,42.02898551,47,0,1,0,0,49.2,33304,44.96000579,55.03999421,37.05933517,4.661310249,3.023417388,0.345460381,0.008167284,51.37833429,NA
DISTRICT 02 - LASSEN,LASSEN,CA1805009,WEST PATTON VILLAGE CSD,C,CSD,155,465,3/14/18,NA,18-Mar,Herlong Public Utility District,CA1805007,PUD,"historic TMF failures, old infrastructure",TMF Capacity,0,0,1,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-120.1583517,40.1395117,Both,Found twice in excel sheets. Other one is from 2017 but 2018 matches tool,NA,No,No,2,Yes,GWP,NA,GWP,GW,2114,Community water system,NA,NA,NA,NA,37.66519824,62.33480176,79.12087912,10.18981019,0,7.292707293,0,3.396603397,50588,93.16808728,6.831912722,37.84390983,18.60525977,1.820952218,5.295648999,0.210109871,31.88184863,55629.44312
LPA50- MADERA COUNTY,MADERA,CA2000614,OAK CREEK INTERMEDIATE SCHOOL,NTNC,School,7,190,3/2/18,NA,18-Mar,Hillview Water Company - Oakhurst/Sierra Lakes,CA2010007,IOU,"uranium, historical nitrate and bacteriological",Quality,0,1,0,0,0,Prop 84,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/OAK_CREEK_ELEM.PDF,-119.6404017,37.331537,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,3403,Community water system,NA,NA,NA,NA,3.694581281,96.30541872,86.27838105,0,2.369200395,0,0,10.26653504,110588,20.23040896,79.76959104,75.09725819,0,2.578397494,0.417201963,0,21.00183377,71737.79826
LPA50- MADERA COUNTY,MADERA,CA2000578,PETE'S PLACE (WATER),NC,Private (other),1,150,3/24/17,NA,17-Mar,Hillview WC - Oakhurst/Sierra Lakes,CA2010007,IOU,TCR,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.654955,37.331232,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,3403,Community water system,NA,NA,NA,NA,26.74199623,73.25800377,65.78773896,0,0.791034937,0,0,33.4212261,53401,20.23040896,79.76959104,75.09725819,0,2.578397494,0.417201963,0,21.00183377,71737.79826
DISTRICT 05 - MONTEREY,SAN BENITO,CA3500526,MCCLOSKEY ROAD LLC,C,MHP,14,0,NA,18-Dec,18-Dec,"HOLLISTER, CITY OF",CA3510001,City,"CHROMIUM, NITRATE",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.3936202,36.8688522,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,23358,Community water system,243.5727225,2,NA,NA,31.62217659,68.37782341,20.50233645,9.521028037,4.088785047,0,0,60.45560748,69345,43.04337209,56.95662791,18.28933408,0.54258008,1.511789144,0.229214404,0.08082972,77.76819433,NA
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3303081,IDYLLWILD ARTS FOUNDATION,NTNC,School,28,275,NA,16-Dec,16-Dec,IDYLLWILD WATER DISTRICT,CA3310019,County Water District,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-116.7450095,33.75928441,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,GW,2500,Community water system,1149.531613,2,NA,NA,22.43243243,77.56756757,78.04347826,10.32608696,5.326086957,0,0,5,60200,36.50961571,63.49038429,78.22158594,3.334872452,6.660630511,2.668054699,0,8.687436349,NA
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3302027,EMPIRE POLO CLUB *OOB*,NC,Private (other),1,50,8/10/17,NA,17-Aug,Indio Water Authority,CA3310020,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-116.237584,33.703576,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,79114,Community water system,NA,NA,NA,NA,2.992957746,97.00704225,83.38907469,0.11148272,0,0,0,14.49275362,43516,29.75504415,70.24495585,24.88644443,3.775436347,2.516705714,0.112633998,0,67.13231031,NA
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3301735,WALLER TRACT WATER DISTRICT,C,MWC,88,350,5/2/19,NA,19-May,Indio Water Authority,CA3310020,City,Hexavalent chromium,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-116.214574,33.72952097,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,79114,Community water system,0.888927888,2,1,NA,45.6043956,54.3956044,9.319371728,0,2.513089005,0,0,88.16753927,36094,29.75504415,70.24495585,24.88644443,3.775436347,2.516705714,0.112633998,0,67.13231031,NA
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3301046,BOE DEL HEIGHTS MUTUAL WATER,C,MWC,116,325,8/1/18,NA,18-Aug,Indio Water Authortiy,CA3310020,City,Perchlorate,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/BOE_DEL_HEIGHTS.PDF,-116.2191162,33.7122802,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,79114,Community water system,NA,NA,NA,NA,17.38484398,82.61515602,10.56511057,22.11302211,0,0,0,67.32186732,41641,29.75504415,70.24495585,24.88644443,3.775436347,2.516705714,0.112633998,0,67.13231031,NA
District 10 - Stockton,AMADOR,CA0310020,THE OAKS MOBILE HOME PARK,C,MHP,213,600,10/14/19,NA,19-Oct,Jackson Valley Irrigation District,CA0300037,Irrigation District,None,None,0,0,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/THE_OAKS.PDF,-120.918933,38.295642,Both,NA,NA,No,No,2,Yes,SW,NA,SW,SW,3553,Community water system,2055.952917,3,NA,NA,37.96610169,62.03389831,87.99019608,0.428921569,1.409313725,0.551470588,0,7.781862745,68500,22.17707781,77.82292219,83.81260038,0.163751938,0.538042081,0.210538206,0,7.675732279,74685.10603
DISTRICT 18 - SONOMA,SONOMA,CA4900922,SMOTHER'S WATER SYSTEM,NC,Private (other),1,45,5/9/17,NA,17-May,Kenwood Village Water,CA4910025,IOU,E. coli,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.546176,38.414022,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,1000,Community water system,NA,NA,NA,NA,3.673469388,96.32653061,85.19637462,0,14.80362538,0,0,0,NA,4.58860468,95.41139532,85.48905678,0.020705785,14.20338285,0,0,0.215558935,NA
LPA46 - KINGS COUNTY,KINGS,CA1600048,KETTLEMAN CITY ELEMENTARY,NTNC,School,12,350,12/31/19,NA,19-Dec,Kettleman City CSD,CA1610009,CSD,Arsenic,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-119.9623857,36.0079117,Both,NA,NA,No,No,2,Yes,NA,NA,GW,SW,1450,Community water system,NA,NA,NA,NA,78.87788779,21.12211221,2.659574468,1.223404255,0,0,0,94.30851064,41916,78.60992578,21.39007422,2.789732709,1.202736815,0,0,0,94.24256689,42149.71666
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000570,INTERSTATE TRUCK CENTER VALLEY PETERBILT,NC,Private (other),2,23,4/28/21,NA,21-Apr,KEYES COMMUNITY SERVICES DIST.,CA5010009,CSD,ARSENIC,Quality,0,1,0,0,0,Private,Regionalization,Physical,Voluntary,NA,-120.9009194,37.5460416,Both,Notes in partnership tool clarify that the stub out was provided by the keyes regionalization project. Excel data said system type of NP. https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf,NA,No,No,7,Keyes,GW,NA,GW,GW,5999,Community water system,625.366073,6,NA,NA,44.61028192,55.38971808,85.36585366,0,2.063789869,0,0,12.57035647,64693,71.81225731,28.18774269,16.59375802,0.973489736,0.467537162,0,0,80.66584228,37418.25841
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000086,COUNTRYSIDE MHP,NP,MHP,44,60,3/14/19,NA,19-Mar,Keyes CSD,CA5010009,CSD,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf,-120.895532,37.543037,Both,Excel data listed system type as C,NA,No,No,7,Keyes,GW,NA,GW,GW,5999,Community water system,1206.385065,11,NA,NA,44.61028192,55.38971808,85.36585366,0,2.063789869,0,0,12.57035647,64693,71.81225731,28.18774269,16.59375802,0.973489736,0.467537162,0,0,80.66584228,37418.25841
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000051,MOBILE PLAZA PARK,C,MHP,50,125,5/29/19,NA,19-May,Keyes CSD,CA5010009,CSD,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf,-120.929337,37.569043,Both,NA,NA,No,No,7,Keyes,GW,NA,GW,GW,5999,Community water system,271.7829768,2,NA,NA,24.54212454,75.45787546,27.62376238,0.742574257,0,0,0,68.51485149,65298,71.81225731,28.18774269,16.59375802,0.973489736,0.467537162,0,0,80.66584228,37418.25841
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000057,ORCHARD VILLAGE MHP,C,MHP,49,75,5/29/19,NA,19-May,Keyes CSD,CA5010009,CSD,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf,-120.938564,37.585248,Both,NA,NA,No,No,7,Keyes,GW,NA,GW,GW,5999,Community water system,2070.298104,8,NA,NA,20.27972028,79.72027972,15.72864322,0,1.959798995,0,0,78.19095477,52077,71.81225731,28.18774269,16.59375802,0.973489736,0.467537162,0,0,80.66584228,37418.25841
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000085,GREEN RUN MOBILE ESTATES,C,MHP,46,100,5/29/19,NA,19-May,Keyes CSD,CA5010009,CSD,Arsenic,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf,-120.900048,37.552253,Both,NA,NA,No,No,7,Keyes,GW,NA,GW,GW,5999,Community water system,326.7081652,2,NA,NA,24.67866324,75.32133676,62.80788177,0,0,0,0,34.40065681,58795,71.81225731,28.18774269,16.59375802,0.973489736,0.467537162,0,0,80.66584228,37418.25841
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000217,FAITH HOME TEEN RANCH,C,Private (other),7,50,5/29/19,NA,19-May,Keyes CSD,CA5010009,CSD,Nitrate,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf,-120.920875,37.5418585,Both,NA,NA,No,No,7,Keyes,GW,NA,GW,GW,5999,Community water system,1097.915196,2,NA,NA,38.29787234,61.70212766,60.89527027,0,0,0,0,39.10472973,62404,71.81225731,28.18774269,16.59375802,0.973489736,0.467537162,0,0,80.66584228,37418.25841
DISTRICT 03 - MENDOCINO,LAKE,CA1700581,CACHE CREEK MOBILE HOME PARK,C,MHP,42,150,9/16/21,NA,21-Sep,KONOCTI COUNTY WATER DISTRICT,CA1710006,County Water District,Fire damage,Disaster,0,0,0,1,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,NA,NA,Excel,"Recently done,  not in partnership tool yet - https://www.lakeconews.com/news/71893-state-awards-konocti-county-water-district-4-3-million-for-expansion-upgrades",NA,No,No,2,Yes,SW,NA,SW,SW,5928,Community water system,32.64285337,2,1,NA,34.19689119,65.80310881,40.78817734,0,0.344827586,0,0,57.09359606,43656,35.6371137,64.3628863,47.74127917,0.554773948,0.4983815,3.160023641,0,44.22681595,NA
LPA49 - LA COUNTY,LOS ANGELES,CA1900122,ENVIRONMENTAL CARE INDUSTRIES-VLY CREST,NTNC,Private (other),4,100,11/20/17,NA,17-Nov,LA - DWP,CA1910067,City,Periodic bacteriological issues,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-118.404382,34.292631,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,4041284,Community water system,100.0084979,1,NA,NA,14.9068323,85.0931677,36.09022556,8.082706767,8.270676692,0,0,47.55639098,126518,62.74177839,37.25822161,29.19542392,8.596884236,11.48342881,0.154599311,0.123076239,47.26828759,NA
LPA75 - SHASTA COUNTY,SHASTA,CA4500136,KLUB KLONDIKE,NC,Private (other),2,35,6/8/21,NA,21-Jun,LAKEHEAD SUBD MUTUAL WATER CO,CA4500016,MWC,NITRATE,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.382991,40.906146,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,70,Community water system,162.0533923,1,1,NA,18.29573935,81.70426065,84.82142857,0.669642857,6.138392857,0,0,4.464285714,45792,18.29573935,81.70426065,84.82142857,0.669642857,6.138392857,0,0,4.464285714,45792
District 01 - Klamath,TRINITY,CA5301003,LEWISTON PARK MWC,C,MWC,168,551,7/1/18,NA,18-Jul,Lewiston CSD,CA5301002,CSD,monitoring violation,TMF Capacity,0,0,1,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-122.8101756,40.69910505,Both,Partnerships tool lists none for issues,NA,No,No,2,Yes,GW,NA,GW,SW,701,Community water system,822.2681184,3,NA,NA,30.57090239,69.42909761,82.41758242,0.073260073,7.765567766,1.465201465,0,3.223443223,47098,30.56648744,69.43351256,76.45944576,0.006728043,1.119206334,18.4060808,0,1.514135221,47349.3932
DISTRICT 16 - CENTRAL,LOS ANGELES,CA1910241,MESA CREST WATER COMPANY,C,Private (other),704,2323,NA,april.2020,20-Apr,LIBERTY UTILITIES - MESA CREST,CA1910241,IOU,None,None,0,0,0,0,0,Private,Managerial,Managerial,Voluntary,NA,-118.1916567,34.2018983,Both,NA,NA,No,No,NA,Yes,NA,SWP,SWP,SWP,2336,Community water system,1019.09622,3,NA,NA,7.28929385,92.71070615,55.54265815,0.696459663,33.66221706,0,0,5.977945444,250001,10.70267909,89.29732091,48.92492362,0.232638797,38.30424352,0,0.009560498,6.735808538,172724.4187
NA,SAN BERNARDINO,CA3600010,APPLE VALLEY RANCHOS WC,C,IOU,49,170,NA,NA,16-Jan,LIBERTY UTILITIES APPLE VALLEY,CA3600010,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Inst. diversity paper,"Early 2016 acquisition, was a private water co bought and now a IOU","No records of change in ECM, would need to email LPA",No,Yes,NA,Park WC,NA,GW,GW,GW,170,Community water system,11895.45411,20,NA,NA,61.5942029,38.4057971,49.16943522,9.468438538,0.830564784,4.15282392,0,28.23920266,28333,58.58585859,41.41414141,22.45827011,5.462822458,7.738998483,0,0,11.83611533,27500
LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,CA3600316,UNION PACIFIC RR / YERMO,NTNC,Private (other),3,25,3/15/18,NA,18-Mar,Liberty Utilities Apple Valley,CA3610118,IOU,None,None,0,0,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-116.8227733,34.90202074,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,1033,Community water system,NA,NA,NA,NA,47.68683274,52.31316726,66.92693809,0,7.585052984,0,0,20.9704406,57013,47.68683274,52.31316726,66.92693809,0,7.585052984,0,0,20.9704406,57013
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3901035,LODI USD-HENDERSON SCHOOL,NTNC,School,3,200,4/27/20,NA,20-Apr,"LODI, CITY OF",CA3910004,City,"1,2,3-TCP",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.311233,38.100499,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,68272,Community water system,55.53842969,1,NA,NA,10.69767442,89.30232558,50.76452599,0,17.58409786,0,0,31.65137615,74750,48.58566764,51.41433236,46.2769772,1.40524113,10.48418383,0.090573273,0.410955137,37.8558681,NA
LPA82 - TEHAMA COUNTY,TEHAMA,CA5201137,MILLSTREAM MOBILE HOME PARK,C,MHP,53,80,3/17/21,NA,21-Mar,LOS MOLINOS COMM. SERVICES DIST.,CA5210003,CSD,ARSENIC,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,NA,-122.1032315,40.0295933,Both,NA,NA,No,No,3,Molinos,GW,NA,GW,GW,1450,Community water system,404.1112924,2,NA,NA,31.06382979,68.93617021,56.23547637,0,0,0.542215337,0,41.13090627,25972,31.23562953,68.76437047,56.28412268,0,0.035614828,0.537066977,0,41.06560366,26364.54652
LPA82 - TEHAMA COUNTY,TEHAMA,CA5200550,NEW ORCHARD MOBILE HOME PARK LLC,C,MHP,50,125,8/31/21,June.2021,21-Aug,LOS MOLINOS COMM. SERVICES DIST.,CA5210003,CSD,ARSENIC,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/neworchard_story.pdf,-122.101887,40.035619,Both,NA,NA,No,No,3,Molinos,GW,NA,GW,GW,1450,Community water system,863.9194458,3,NA,NA,31.06382979,68.93617021,56.23547637,0,0,0.542215337,0,41.13090627,25972,31.23562953,68.76437047,56.28412268,0,0.035614828,0.537066977,0,41.06560366,26364.54652
LPA50 - MADERA COUNTY,MADERA,CA2000203,OUTBACK INC,NTNC,Private (other),4,41,11/9/21,NA,21-Nov,MINARETS HIGH SCHOOL,CA2000947,School,NONE,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,NA,NA,Excel Dec 2021 update,NA,NA,No,No,2,Yes,GW,NA,GW,GW,450,Non-Transient non-community system,NA,NA,NA,NA,0.409836066,99.59016393,84.28874735,0,0,0,0,14.54352442,72431,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3301206,DESERT HOT SPRINGS SPA HOTEL,NP,Private (other),1,520,12/9/21,NA,21-Dec,MISSION SPRINGS WD,CA3310008,County Water District,NONE,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,NA,NA,Excel Dec 2021 update,NA,NA,No,No,2,Yes,GW,GW,GW,GW,38694,Community water system,0,1,1,NA,35.8974359,64.1025641,40.87350639,7.045735476,2.101359703,0,0.28842192,45.44705398,57070,46.42765869,53.57234131,29.1817151,7.157075518,2.808181249,0.872239904,0.126502788,57.57793361,NA
DISTRICT 24 - TULARE,TULARE,CA5402043,MONSON MARKET,NC,Private (other),2,30,3/26/21,NA,21-Mar,MONSON WATER SYSTEM,CA5403212,CSD,NITRATE,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.3398685,36.49492889,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,140,Community water system,0,1,NA,Receiving system not in CES polygon set,37.85714286,62.14285714,33.98230088,0,0,0,0,64.77876106,51364,37.86451413,62.13548587,33.99826082,0,0,0,0,64.7629952,51356.12034
LPA39- El Dorado County,EL DORADO,CA0900211,MOTHER LODE RIVER CENTER,NC,Private (other),3,103,12/17/18,NA,18-Dec,Mother Lode Water System,CA0900116,Private (other),None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.942086,38.826342,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,63,Transient non-community system,NA,NA,NA,NA,9.116022099,90.8839779,83.21732405,0,0,0,0,16.78267595,65833,NA,NA,NA,NA,NA,NA,NA,NA,NA
District 09- Sacramento,NEVADA,CA2910007,NEVADA ID - CASCADE SHORES,C,ID,393,959,8/31/17,NA,17-Aug,Nevada ID-E. George,CA2910004,Irrigation District,"Landslide, Preventative for DBPs",Multiple,0,0,0,1,1,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.909277,39.263953,Both,"Landslide part of issue field comes from partnerships tool, just said preventative DBCP in excel data",NA,No,No,2,Yes,SW,NA,SW,SW,17233,Community water system,6214.734188,2,NA,NA,12.12871287,87.87128713,91.60762943,0,0,0,0,7.95640327,72375,52.15875317,47.84124683,81.34776132,0.374597272,1.482104791,0.075012028,0.209197233,13.01944986,NA
LPA59 - NEVADA COUNTY,NEVADA,CA2900540,FOREST LAKE CHRISTIAN SCHOOL,NTNC,School,3,300,5/31/18,NA,18-May,Nevada Irrigation District,CA2910014,Irrigation District,"Pb and Cu, historic SVOC and bacteriological",Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.062047,39.021785,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,6932,Community water system,NA,NA,NA,NA,7.605633803,92.3943662,97.30483271,0,0,0,0,1.301115242,NA,13.46471239,86.53528761,85.33471679,0,0.83218734,0.947088673,0,8.136151953,NA
LPA59 - NEVADA COUNTY,NEVADA,CA2902376,CAMP AUGUSTA,NC,Private (other),10,150,9/4/19,NA,19-Sep,Nevada Irrigation District,CA2910004,Irrigation District,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.0313527,39.3012015,Both,NA,NA,No,No,2,Yes,SWP,NA,SWP,SW,17233,Community water system,3348.252146,1,NA,NA,18.6228482,81.3771518,82.95008413,0,6.898485698,0,0,8.468872686,66766,52.15875317,47.84124683,81.34776132,0.374597272,1.482104791,0.075012028,0.209197233,13.01944986,NA
NA,TEHAMA,CA5200657,RIVERVIEW AVENUE ESTATES,C,IOU,17,45,15-May,NA,15-May,NORCAL WATER WORKS,CA5200657,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Additional cases,https://docs.cpuc.ca.gov/PublishedDocs/Published/G000/M154/K555/154555982.PDF.  Process for recievorship then started Summer 2020 with new owner.,"No records of change in ECM, would need to email lpa.",No,Yes,NA,Yes,NA,GW,GW,GW,45,Community water system,14.44679672,1,1,NA,19.01913876,80.98086124,83.93758605,0,0.596603947,0,0,15.32813217,63819,19.01913876,80.98086124,83.93758605,0,0.596603947,0,0,15.32813217,63819
LPA88 - YUBA COUNTY,YUBA,CA5800807,AEROPINES,C,MHP,21,45,8/21/20,NA,20-Aug,NORTH YUBA WATER DISTRICT,CA5810006,Water District,"TCR, E.coli periodically. Non-compliant well construction.",Multiple,1,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.639695,39.14312,Both,Only TCR listed as issue in partnership data,NA,No,No,2,Yes,GW,NA,GW,SW,2772,Community water system,28726.07694,40,NA,NA,19.84126984,80.15873016,81.5320042,8.079748164,0,0,0,5.771248688,NA,18.6892915,81.3107085,84.37303448,3.711363829,0.420621544,0.407817083,0.268799884,5.233621666,NA
LPA43 - Imperial County,IMPERIAL,CA1300611,SHUEY SHELL CANYON WATER CO.,NC,Private (other),19,25,3/28/17,NA,17-Mar,Ocotillo Mutual Water Company,CA1300513,MWC,water outage,Capacity,0,0,0,1,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-115.994552,32.737041,Both,NA,NA,No,No,2,Yes,NA,NA,GW,GW,150,Community water system,NA,NA,NA,NA,30.5019305,69.4980695,10.7660021,17.96432319,1.993704092,0.944386149,0.37775446,66.16998951,42011,30.5019305,69.4980695,10.7660021,17.96432319,1.993704092,0.944386149,0.37775446,66.16998951,42011
District 12 - Visalia,KERN,CA1510041,NORTH OF THE RIVER MWD,C,MWD,1,0,3/9/17,NA,17-Mar,Oildale MWC,CA1510015,MWC,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.031813,35.441807,Both,NA,NA,No,No,2,Yes,SWP,NA,SWP,SWP,36726,Community water system,74.63264935,1,NA,NA,73.41463415,26.58536585,56.74453655,0,28.86209495,0,0,14.3933685,49167,67.04489187,32.95510813,65.64859827,1.701119261,3.805013478,0.75135141,0,23.4544084,NA
LPA70 - SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO,CA4000512,BELLA VISTA MOBILE LODGE,C,MHP,84,200,10/20/17,NA,17-Oct,Paso Robles Beach Water Association,CA4010006,MWC,Arsenic,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.908411,35.451219,Both,cayucos beach mutual water company is the same thing,NA,No,No,2,Yes,GW,NA,GW,SWP,2373,Community water system,NA,NA,NA,NA,58.69565217,41.30434783,73.71900826,0,8.26446281,0,0,16.03305785,57292,48.20908935,51.79091065,82.2622941,0,1.664044878,0,0,12.41250763,58010.89778
LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,CA3600125,HINKLEY ELEMENTARY SCHOOL,NTNC,School,1,527,NA,19-Oct,19-Oct,PG & E PIPELINE OPERATION,CA3600192,Private (other),None,None,0,0,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-117.0470437,34.8888772,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,GW,50,Non-Transient non-community system,NA,NA,NA,NA,0,100,31.81818182,0,2.272727273,0,0,65.90909091,42222,NA,NA,NA,NA,NA,NA,NA,NA,NA
District 11 - Merced,TUOLUMNE,CA5500157,USFS PINECREST REC AREA,NTNC,Federal,20,361,9/18/18,NA,18-Sep,Pinecrest Permittees Assn,CA5510004,PA,Total trihalomethanes,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-119.997221,38.19084,Both,NA,NA,No,No,2,Yes,SWP,NA,SWP,SW,1253,Community water system,NA,NA,NA,NA,100,0,69.81707317,0,15.24390244,0,0,11.58536585,42379,100,0,69.81707317,0,15.24390244,0,0,11.58536585,42379
