Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Vetted_address,GEOID,NAME,Race.estimate.total.x,B02001_001M,Race.white.alone.x,B02001_002M,Race.black.alone.x,B02001_003M,Race.native.alone.x,B02001_004M,Race.asian.alone.x,B02001_005M,Race.PI.alone.x,B02001_006M,Race.someother.alone.x,B02001_007M,Race.twoplus.x,B02001_008M,Median.hh.income,B19013_001M,Tenure.estimate.total.x,B25003_001M,Tenure.owner.x,B25003_002M,Tenure.renter.x,B25003_003M,AC_PHONE_N,AC_EMAIL,SHAPE_Leng_receiving,SHAPE_Area_receiving,Households.total,Income.aggregatecount,Race.asian.alone.y,Race.black.alone.y,Race.estimate.total.y,Race.native.alone.y,Race.PI.alone.y,Race.someother.alone.y,Race.twoplus.y,Race.white.alone.y,Tenure.estimate.total.y,Tenure.owner.y,Tenure.renter.y
LPA37- Contra Costa County,CONTRA COSTA,CA0706108,LONE TREE MEDICAL & DENTAL,NC,Private (other),2,45,8/2/2018,NA,Aug-18,City of Brentwood,CA0710004,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.744998,37.960949,Both,NA,NA,No,No,GW,NA,GW,SWP,65118,6061 Lone Tree Way Brentwood CA 94513,060133032092,"Block Group 2, Census Tract 3032.09, Contra Costa County, California",2623,864,770,329,37,71,19,29,929,567,0,13,782,804,86,94,106652,41718,660,263,527,264,133,76,925-516-6025,jwolfe@brentwoodca.gov,56705.0512425,63451168.7889,16665.309476580467,NA,5518.282796002487,5227.422355997566,51575.444763757325,330.12622612338146,306.51262832704737,4715.452249612116,4231.397543541367,31246.250964153358,16665.309476580467,12851.189518612493,3814.1199579679765
LPA37- Contra Costa County,CONTRA COSTA,CA0707557,NEIGHBORHOOD CHURCH,NTNC,Private (other),2,250,4/22/19,NA,Apr-19,City of Brentwood,CA0710004,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.690034,37.931527,Both,NA,NA,No,No,GW,NA,GW,SWP,65118,50 Birch St. Brentwood 94513,060133031072,"Block Group 2, Census Tract 3031.07, Contra Costa County, California",1913,505,1215,403,237,197,140,107,0,13,117,149,118,114,86,72,87546,43879,567,145,295,126,272,130,925-516-6025,jwolfe@brentwoodca.gov,56705.0512425,63451168.7889,16665.309476580467,NA,5518.282796002487,5227.422355997566,51575.444763757325,330.12622612338146,306.51262832704737,4715.452249612116,4231.397543541367,31246.250964153358,16665.309476580467,12851.189518612493,3814.1199579679765
District 23 - Fresno,FRESNO,CA1000207,CENTRAL WEST ARTS CENTER,C,School,7,56,12/11/2018,NA,Dec-18,Central High School West,CA1000217,School,Nitrate,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-119.9873046,36.7647094,Both,NA,NA,No,No,GW,NA,GW,GW,1127,10950 W MCKINLEY FRESNO CA 93722,060190041001,"Block Group 1, Census Tract 41, Fresno County, California",1880,557,1142,276,30,36,13,19,144,121,0,13,148,136,403,499,54022,24001,578,121,360,79,218,111,559-274-4700,josephmartinez@centralusd.k12.ca.us,2361.35020982,305052.733719,1.6613992366082841,NA,0.4106574985778222,0.0855536455370463,5.40269606963038,0.03707324639938673,0,0.4260569381273853,1.161650760108929,3.281703980879811,1.6613992366082841,1.0336201668319616,0.6277790697763225
LPA57 - MONTEREY COUNTY,MONTEREY,CA2702624,UNI-KOOL WS,NTNC,Private (other),6,180,7/12/17,NA,Jul-17,Cal-Water,CA2710010,IOU,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.7617451,35.81280886,Both,NA,NA,No,No,GW,NA,GW,GW,106858,730 W. Market St. Salinas CA 93901,060530018013,"Block Group 3, Census Tract 18.01, Monterey County, California",153,132,0,13,0,13,0,13,0,13,0,13,153,132,0,13,NA,NA,38,33,8,15,30,29,408-367-8314,sjames@calwater.com,55715.1923136,70125117.0471,29651.62062194112,NA,8029.625224297599,1690.0563952510784,103327.43494379103,962.5178813835101,102.59207642734573,48395.185666805264,7470.649192774267,36676.80850685196,29651.62062194112,14478.332064927616,15173.288557013506
DISTRICT 08 - SANTA ANA,ORANGE,CA3000852,RANCHO MISSION VIEJO,C,Private (other),17,25,1/6/20,NA,Jan-20,SANTA MARGARITA WATER DISTRICT,CA3010101,Water District,Nitrate,Quality,0,1,0,0,0,Self-funded,Voluntary Consolidation,Physical,Voluntary,NA,-117.6260983,33.5212917,Both,"Issues in state partnerships tool is ""none""",NA,No,No,GW,NA,GW,SWP,161264,28436 Airoso St. Ladera Ranch CA 92694,060590320665,"Block Group 5, Census Tract 320.66, Orange County, California",251,205,100,123,0,13,0,13,107,98,0,13,0,13,44,51,135962,52051,72,53,72,53,0,13,949-459-6594,danielp@smwd.com,98987.3105776,365291426.023,55659.829896502844,NA,20310.618524997364,2380.5057657685834,164034.8013019593,557.6216099750122,243.87327049778918,3518.6291318872736,13083.79645754453,123939.75654128873,55659.829896502844,43351.770515966076,12308.059380536763
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3302093,COUNTY WATER OF RIVERSIDE,C,Private (other),140,420,5/25/17,NA,May-17,Eastern Municipal Water District (EMWD),CA3310009,MWD,Nitrate,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/RIVERSIDE_COUNTY_WS.PDF,-117.37587,33.657021,Both,NA,NA,No,No,GW,NA,GW,SWP,608232,"25898 Bundy Canyon Rd, Menifee, CA",060650432793,"Block Group 3, Census Tract 432.79, Riverside County, California",895,327,575,224,0,13,32,46,25,30,0,13,229,239,34,57,91597,23292,281,88,193,74,88,58,951-928-3777,melendrm@emwd.org,440326.811896,2081652759.23,233162.39929733597,NA,51233.39135018877,78237.5592610923,847336.7768712431,5929.620889840288,3890.6617736280823,199942.13303485443,67719.26986013017,440384.1407015091,233162.39929733597,156949.20303340573,76213.19626393024
LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,CA3601094,FUJI NATURAL FOOD,NTNC,Private (other),2,75,5/16/19,NA,May-19,City of Ontario,CA3610034,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-117.559378,34.009721,Both,NA,NA,No,No,GW,NA,GW,SWP,185010,13500 Hamner Ave. Ontario 91761,060710019063,"Block Group 3, Census Tract 19.06, San Bernardino County, California",4127,866,2214,812,266,198,0,13,810,277,0,13,229,292,608,547,104736,24887,1277,214,1159,229,118,118,909-395-2682,SBURTON@ontarioca.gov,66087.2924836,184330680.409,49660.19712417257,NA,11041.890924967756,9983.82769310468,174850.9578133527,1640.7070806182408,585.1175995298482,47885.38791126235,21927.929341725438,81786.09726214438,49660.19712417257,26936.670224420363,22723.526899752207
LPA75 - SHASTA COUNTY,SHASTA,CA4500136,KLUB KLONDIKE,NC,Private (other),2,35,6/8/2021,NA,Jun-21,LAKEHEAD SUBD MUTUAL WATER CO,CA4500016,MWC,NITRATE,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.382991,40.906146,Both,NA,NA,No,No,GW,NA,GW,GW,70,21375 MAIN STREET LAKEHEAD CA 96051,060890125002,"Block Group 2, Census Tract 125, Shasta County, California",896,161,785,164,6,9,0,13,55,75,0,13,0,13,50,41,45792,12811,399,70,326,63,73,43,805-585-8385,johnromolo@gmail.com,1072.5473157,76499.9976394,0.05977306202756868,2737.128056366425,0.00823939451507839,8.988430380085516e-4,0.13422722700927703,0,0,0,0.007490358650071263,0.11759863080611883,0.05977306202756868,0.04883713839846464,0.010935923629104043
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000217,FAITH HOME TEEN RANCH,C,Private (other),7,50,5/29/19,NA,May-19,Keyes CSD,CA5010009,CSD,Nitrate,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf,-120.920875,37.5418585,Both,NA,NA,No,No,GW,NA,GW,GW,5999,6643 Faith Home Rd Ceres CA 95307,060990036034,"Block Group 4, Census Tract 36.03, Stanislaus County, California",1184,539,1184,539,0,13,0,13,0,13,0,13,0,13,0,13,62404,23779,329,101,203,94,126,59,209-668-8341,EGARZA@keyescsd.org,14498.1690612,2910169.55248,544.1812151855132,20362313.33214039,8.386721136872074,17.46254117808625,1793.8084534490188,15.268133351741469,0,253.78163632519005,408.9746426475769,1089.9347788095517,544.1812151855132,153.392400681822,390.78881450369124
DISTRICT 21 - VALLEY,SUTTER,CA5105009,SIKH TEMPLE GURDWARA,NC,Private (other),1,250,9/28/20,NA,Sep-20,CITY OF YUBA CITY,CA5110002,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.663289,39.16305,Both,Partnership tool lists no issues instead of nitrate,NA,No,No,GW,NA,GW,SW,73202,2468 TIERRA BUENA ROAD YUBA CITY CA 95993,061010506011,"Block Group 1, Census Tract 506.01, Sutter County, California",1450,415,1188,400,2,4,0,13,106,142,0,13,40,48,114,193,84417,40139,477,127,372,129,105,72,530-822-4759,tpioro@yubacity.net,55787.2160326,37813337.071,14126.639769550204,NA,5292.680597783856,1210.393649822517,39246.268434644124,514.533862325586,149.70057902631103,2889.083536562556,4409.750503450095,24780.125705673207,14126.639769550204,6414.818558986044,7711.8212105641605
DISTRICT 24 - TULARE,TULARE,CA5403010,VISALIA CITRUS PACKERS-WOODLAKE,NTNC,Private (other),3,150,5/26/17,NA,May-17,City of Woodlake,CA5410020,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.1314448,36.4131647,Both,NA,NA,No,No,GW,NA,GW,GW,7950,19743 AVE 344 WOODLAKE CA 93286,061070007012,"Block Group 2, Census Tract 7.01, Tulare County, California",1281,663,1102,649,0,13,29,26,1,5,0,13,134,100,15,23,30424,11800,475,165,208,66,267,150,559-564-8055,rlara@ci.woodlake.ca.us,33902.7148992,10868606.1453,1785.36987187687,91052700.71010305,138.32150995355008,31.699296824552732,6416.111415935197,21.891688989227756,21,1871.7460377455961,430.58032990030387,3900.872552521967,1785.36987187687,887.914734922361,897.455136954509
DISTRICT 24 - TULARE,TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,C,MWC,28,92,12/10/20,NA,Dec-20,"PORTERVILLE, CITY OF",CA5410010,City,Nitrate,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCS/BEVERLYGRAND_STORY.PDF,-119.0491854,36.1008075,Both,NA,NA,No,No,GW,NA,GW,GW,65702,1935 N. BEVERLY STREET PORTERVILLE CA 93257,061070035041,"Block Group 1, Census Tract 35.04, Tulare County, California",1541,1028,610,400,0,13,0,13,0,13,0,13,127,158,804,988,74919,71568,312,154,312,154,0,13,559-782-7580,mknight@ci.porterville.ca.us,178114.606617,56528518.4072,13061.597664843477,NA,1823.6942730202986,224.77776125525855,43332.67768264289,808.4897409998227,178.7545859837814,8510.130531288376,4090.561849369755,27696.268940725597,13061.597664843477,6369.238510679225,6692.359154164253
DISTRICT 24 - TULARE,TULARE,CA5402043,MONSON MARKET,NC,Private (other),2,30,3/26/2021,NA,Mar-21,MONSON WATER SYSTEM,CA5403212,CSD,NITRATE,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.3398685,36.49492889,Both,NA,NA,No,No,GW,NA,GW,GW,140,38845 MONSON DR DINUBA CA 93618,061070003043,"Block Group 3, Census Tract 3.04, Tulare County, California",565,289,392,232,0,13,0,13,10,16,0,13,156,156,7,16,51364,8936,140,60,87,37,53,45,559-730-8035,sultanacsd@gmail.com,6378.6793578,2033804.14765,7.7883755203517975,399980.7505125562,0.5549401041508655,0,31.424567446069396,0,0,8.66816106914543,0.3919761406396318,21.809490132133465,7.7883755203517975,4.839344971099383,2.9490305492524143
DISTRICT 24 - TULARE,TULARE,CA5400957,WEST GOSHEN MUTUAL WATER CO,C,MWC,100,400,NA,Jun-14,Jun-14,CWS - VISALIA,CA5410016,IOU,Nitrate,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/west_goshen_mwc.pdf,-119.4615901,36.34898964,Tool,NA,NA,No,No,GW,NA,GW,GW,141165,4856 Avenue 309 Visalia CA 93291,061070009011,"Block Group 1, Census Tract 9.01, Tulare County, California",978,556,530,339,0,13,0,13,0,13,0,13,206,154,242,364,29189,28697,234,104,102,67,132,84,408-367-8314,sjames@calwater.com,157492.052212,138382334.386,38126.06576804115,NA,7298.33459847948,3123.1140809998024,116393.65032485196,1254.7285392826311,57.555532359049906,20448.96563832238,7904.455733291273,76306.49620211734,38126.06576804115,22113.56107916293,16012.504688878224
LPA87 - YOLO COUNTY,YOLO,CA5700770,KENTUCKY AVENUE INDUSTRIAL,NC,Private (other),5,20,12/3/2018,NA,Dec-18,City of Woodland,CA5710006,City,Nitrate,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.7738017,38.69236,Both,Excel data listed system type as NP,NA,No,No,GW,NA,GW,GW,60978,"515 KENTUCKY AVENUE, woodland, CA 95695",061130112083,"Block Group 3, Census Tract 112.08, Yolo County, California",1499,579,1423,573,8,18,0,13,30,51,0,13,38,54,0,13,76365,3372,439,169,274,152,165,106,530-661-5963,TIM.BUSCH@CITYOFWOODLAND.ORG,48441.3169959,85306525.5243,20357.35370779293,1570500152.9106414,4717.635793573868,1027.22176599221,59350.802306968006,732,138,4605.797909951916,6685.011043297928,41445.135794152084,20357.35370779293,10688.005180693432,9669.348527099497
LPA72 - SANTA BARBARA COUNTY,SANTA BARBARA,CA4200959,CENTRAL CITY COOLING,NTNC,Private (other),3,40,1/10/20,NA,Jan-20,SANTA MARIA WATER DEPARTMENT,CA4210011,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.3989842,34.9251593,Both,NA,NA,No,No,GW,NA,GW,SWP,107407,1701 Betteravia Rd. Santa Maria CA 93454,060830020062,"Block Group 2, Census Tract 20.06, Santa Barbara County, California",1158,282,996,316,7,11,0,13,0,13,0,13,153,151,2,4,113015,52505,375,85,299,83,76,32,805-925-0951,sspringer@cityofsantamaria.org,61518.0617867,73687341.0452,25759.78193225152,NA,4111.337792487623,1328.3602414197817,96952.16067944863,1026.7822554695044,26.90178114390872,9592.753000767792,12451.812237579512,68414.2133705805,25759.78193225152,12399.600815002173,13360.181117249347
District 23 - Fresno,FRESNO,CA1000112,FAIRMONT SCHOOL,NTNC,School,6,483,6/10/19,NA,Jun-19,FCSA #10/Cumora Knolls,CA1000039,CSA,"Nitrate, 123-TCP",Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/FAIRMONT.PDF,-119.565632,36.780411,Both,NA,NA,No,No,GW,NA,GW,GW,132,3095 N GREENWOOD AVE SANGER CA 93657,060190059162,"Block Group 2, Census Tract 59.16, Fresno County, California",1428,471,1189,531,0,13,21,36,218,345,0,13,0,13,0,13,127755,50041,479,118,451,124,28,33,559-600-4482,cbump@co.fresno.ca.us,7871.0612269,1318261.50148,48.37528017269958,4782962.228539667,10.227755091174885,2.810651060573126,144.1094710464462,0.6906171177408252,0.01764685106152721,6.913856353863217,8.5600162289963,114.8889283430363,48.37528017269958,45.22458097838268,3.1506991943168994
District 11 - Merced,FRESNO,NA,DALEVILLE (Individual Homes),NA,Domestic wells,42,120,10/1/2018,Dec.2018,Oct-18,City of Fresno,CA1010007,City,"Nitrate, uranium, drought supply shortages",Multiple,0,1,0,1,0,DWR / CAA,Domestic well consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/daleville.pdf,-119.7875425,36.7665762,Both,Changed pop and connections numbers based on story in consoldiation success story.,NA,No,No,NA,NA,NA,SW,541990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559-621-5314,BUD.TICKEL@FRESNO.GOV,446458.144162,458896843.477,157502.87281071552,NA,63453.92575886591,34518.32682084753,482370.98307885823,5664.311747631592,831.779678780202,60938.9916806395,44747.082523011595,272216.5648690819,157502.87281071552,74296.02058509437,83206.85222562116
DISTRICT 24 - TULARE,TULARE,CA5400507,VISALIA/ SEQUOIA SOUTH KOA,NC,MHP,83,169,11/20/17,NA,Nov-17,Cal Water Service-Visalia,CA5410016,IOU,Nitrate/Bacteriological,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.406193,36.349414,Both,NA,NA,No,No,GW,NA,GW,GW,141165,7480 AVENUE 308 VISALIA CA 93291,061070009012,"Block Group 2, Census Tract 9.01, Tulare County, California",4869,1151,2279,853,22,35,53,81,526,94,0,13,1681,808,308,507,59750,38977,1289,289,889,179,400,258,408-367-8314,sjames@calwater.com,157492.052212,138382334.386,38126.06576804115,NA,7298.33459847948,3123.1140809998024,116393.65032485196,1254.7285392826311,57.555532359049906,20448.96563832238,7904.455733291273,76306.49620211734,38126.06576804115,22113.56107916293,16012.504688878224
DISTRICT 18 - SONOMA,SONOMA,CA4901410,STOP N SAVE,NC,Private (other),1,50,3/28/19,NA,Mar-19,City of Santa Rosa,CA4910009,City,"No Permit, single source capacity",Multiple,1,0,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.768644,38.420033,Both,No permit came from excel data for issue whereas partnership tool said single source capacity,NA,No,No,GW,NA,GW,GW,173648,1078 S Wright Rd. Santa Rosa 95407,060971533013,"Block Group 3, Census Tract 1533.01, Sonoma County, California",4424,737,2068,920,88,74,0,13,243,249,0,13,1699,769,326,313,107532,27102,1045,176,578,183,467,135,707-543-3975,tllamas@srcity.org,97471.7275708,189298667.7,65834.95494796787,NA,10353.206527136967,4534.441732404074,179812.64823848903,1931.88310037241,1028.123268557791,36405.31656450827,13201.08252373183,112358.59452177769,65834.95494796787,35557.2667004517,30277.688247516173
District 10 - Stockton,AMADOR,CA0310015,RABB PARK COMMUNITY SER. DIST.,C,CSD,108,268,1/11/17,NA,Jan-17,Amador Water Agency,CA0300073,Special Act District,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.527533,38.452386,Both,NA,NA,No,No,SWP,NA,SWP,SW,35,19021 Circle View Dr. Pinoeer CA 95666,060050001021,"Block Group 1, Census Tract 1.02, Amador County, California",861,299,779,235,0,13,4,8,8,16,0,13,0,13,70,90,49063,23291,327,79,247,64,80,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District 10 - Stockton,AMADOR,CA0310020,THE OAKS MOBILE HOME PARK,C,MHP,213,600,10/14/19,NA,Oct-19,Jackson Valley Irrigation District,CA0300037,Irrigation District,None,None,0,0,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/THE_OAKS.PDF,-120.918933,38.295642,Both,NA,NA,No,No,SW,NA,SW,SW,3553,5545 THREE OAKS DRIVE IONE CA 95640,060050003041,"Block Group 1, Census Tract 3.04, Amador County, California",1632,330,1482,317,7,14,9,33,23,38,0,13,12,23,99,89,68500,25119,590,111,366,94,224,89,209-274-2037,steve@jvid.org,3098.95970456,396143.164745,2.349838727494684,175497.95452536142,0.03794033581042357,0.011547058724911522,7.051555470947426,0.014846218360600526,0,0.3380461754944859,0.5055785794718899,6.143597103085114,2.349838727494684,1.828713164402631,0.5211255630920533
LPA37- Contra Costa County,CONTRA COSTA,CA0707558,HERTZ WATER SYSTEM,C,Private (other),16,35,2/22/19,NA,Feb-19,Golden State Water Company- Bay Point,CA0710002,IOU,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.9246386,38.01856574,Both,NA,NA,No,No,GW,NA,GW,SWP,22295,83 Solano Ave. Pittsburg CA 94565,060133141033,"Block Group 3, Census Tract 3141.03, Contra Costa County, California",1508,495,405,217,102,119,7,11,247,149,0,13,701,390,46,51,69318,18329,400,108,161,73,239,90,916-853-3632,lmiller@gswater.com,21896.3378554,13226131.0723,4790.004298491885,316742609.9276787,1621.1798297070748,2054.231619598655,19610.44592901055,114.84645217761593,10.074295460264219,7742.211633401827,2166.731446472382,5901.170652192733,4790.004298491885,2744.6702194934423,2045.3340789984418
LPA39- El Dorado County,EL DORADO,CA0900548,MARK TWAIN MOTEL,NC,Private (other),21,25,8/9/17,NA,Aug-17,South Tahoe PUD,CA0910019,PA,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.9463988,38.9565733,Both,NA,NA,No,No,GW,NA,GW,SW,1554,947 Park Ave. South Lake Tahoe CA 96150,060170316013,"Block Group 3, Census Tract 316.01, El Dorado County, California",368,234,368,234,0,13,0,13,0,13,0,13,0,13,0,13,32885,17167,192,87,44,39,148,77,530-542-2314,nakia@lpatahoe.com,2857.71894633,509899.891005,41.06634084056118,1350466.6185418544,0,0,78.7104866110756,0,0,0,0,78.7104866110756,41.06634084056118,9.411036442628603,31.65530439793258
LPA39- El Dorado County,EL DORADO,CA0900555,MATTERHORN INN,C,Private (other),2,40,11/27/17,NA,Nov-17,South Tahoe PUD,CA0910002,PUD,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.99845,38.917605,Both,NA,NA,No,No,GW,NA,GW,GW,121124,2187 LAKE TAHOE BLVD SOUTH LAKE TAHOE CA 96150,060170304043,"Block Group 3, Census Tract 304.04, El Dorado County, California",646,212,481,185,21,30,0,13,24,48,0,13,78,112,42,58,33704,18354,322,105,207,107,115,64,530-543-6521,cstanley@stpud.dst.ca.us,129127.553572,201858011.038,11340.705530708852,NA,1421.7052078147583,194.13635552104364,27181.648762567766,60.49204723837237,38.00183606146031,1555.8865588968781,1411.2202305033563,22500.206526531896,11340.705530708852,5914.074711638347,5426.630819070504
LPA39- El Dorado County,EL DORADO,CA0900539,SUNRAY TAHOE HOTEL,NC,Private (other),3,120,7/20/17,NA,Jul-17,South Tahoe PUD,CA0910002,PUD,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.983058,38.928266,Both,NA,NA,No,No,GW,NA,GW,GW,121124,2659 Lake Tahoe Blvd. South Lake Tahoe CA 96150,060170303021,"Block Group 1, Census Tract 303.02, El Dorado County, California",537,185,463,218,8,9,0,13,63,90,0,13,2,5,1,3,44750,22789,218,84,94,46,124,76,530-543-6521,cstanley@stpud.dst.ca.us,129127.553572,201858011.038,11340.705530708852,NA,1421.7052078147583,194.13635552104364,27181.648762567766,60.49204723837237,38.00183606146031,1555.8865588968781,1411.2202305033563,22500.206526531896,11340.705530708852,5914.074711638347,5426.630819070504
LPA39- El Dorado County,EL DORADO,CA0900211,MOTHER LODE RIVER CENTER,NC,Private (other),3,103,12/17/2018,NA,Dec-18,Mother Lode Water System,CA0900116,Private (other),None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.942086,38.826342,Both,NA,NA,No,No,GW,NA,GW,GW,63,6280 CA-49 Lotus CA 95651,060170306063,"Block Group 3, Census Tract 306.06, El Dorado County, California",1293,512,1141,455,0,13,0,13,0,13,0,13,152,235,0,13,65833,49707,362,112,329,124,33,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPA39- El Dorado County,EL DORADO,CA0900666,SIESTA ARMS APARTMENTS,SSWS,Private (other),1,21,10/23/18,NA,Oct-18,South Tahoe PUD,CA0910002,PUD,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.9609658,38.9438742,Both,excel data said NP as system type,NA,No,No,NA,NA,NA,GW,121124,1096 Herbert Ave. South Lake Tahoe 96150,060170302013,"Block Group 3, Census Tract 302.01, El Dorado County, California",917,407,700,337,0,13,0,13,48,57,0,13,45,71,124,145,56222,7833,250,115,144,98,106,67,530-543-6521,cstanley@stpud.dst.ca.us,129127.553572,201858011.038,11340.705530708852,NA,1421.7052078147583,194.13635552104364,27181.648762567766,60.49204723837237,38.00183606146031,1555.8865588968781,1411.2202305033563,22500.206526531896,11340.705530708852,5914.074711638347,5426.630819070504
District 23 - Fresno,FRESNO,CA1000624,SUNNYSIDE MARKET,NC,Private (other),2,429,9/5/17,NA,Sep-17,City of Fresno,CA1010007,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.6628067,36.7506917,Both,NA,NA,No,No,GW,NA,GW,SW,541990,7064 E. Belmont FRESNO CA 93727,060190059043,"Block Group 3, Census Tract 59.04, Fresno County, California",2602,627,1516,409,30,33,0,13,481,328,0,13,246,236,329,274,97917,31181,831,209,761,218,70,49,559-621-5314,BUD.TICKEL@FRESNO.GOV,446458.144162,458896843.477,157502.87281071552,NA,63453.92575886591,34518.32682084753,482370.98307885823,5664.311747631592,831.779678780202,60938.9916806395,44747.082523011595,272216.5648690819,157502.87281071552,74296.02058509437,83206.85222562116
DISTRICT 23 - FRESNO,FRESNO,CA1000646,E-Z TRIP,NP,Private (other),2,25,9/21/2021,NA,Sep-21,City of Fresno,CA1010007,City,NONE,None,0,0,0,0,0,Private,NA,NA,Voluntary,NA,NA,NA,Excel,"Recently done,  not in partnership tool yet, Fiarly psoitive would be with Fresno city but double check",NA,No,No,GW,NA,GW,SW,541990,6639 Parkway Drive FRESNO CA 93722,060190042183,"Block Group 3, Census Tract 42.18, Fresno County, California",964,391,419,287,0,13,12,20,37,61,0,13,353,306,143,169,108889,71042,268,96,231,89,37,41,559-621-5314,BUD.TICKEL@FRESNO.GOV,446458.144162,458896843.477,157502.87281071552,NA,63453.92575886591,34518.32682084753,482370.98307885823,5664.311747631592,831.779678780202,60938.9916806395,44747.082523011595,272216.5648690819,157502.87281071552,74296.02058509437,83206.85222562116
